供应商ID,材料分类,总供货量,活跃度,稳定性,可靠性,充足率,TOPSIS得分,材料权重,最终得分,排名
S094,C,41.0,0.1,0.0999000999000999,0.4117647058823529,0.0,0.006782982980707289,1.0,0.006782982980707289,304
S378,B,49.0,0.0875,0.0999000999000999,0.3090909090909091,0.0,0.005588796188315874,1.2,0.006706555425979049,305
S156,A,28.0,0.06666666666666667,0.0999000999000999,0.22916666666666666,0.0,0.004180641343471997,1.6,0.006689026149555195,306
S369,C,146.0,0.10833333333333334,0.0999000999000999,0.3283582089552239,0.0,0.006647218832266824,1.0,0.006647218832266824,307
S028,B,106.0,0.07916666666666666,0.0999000999000999,0.3469387755102041,0.0,0.0054890179146777195,1.2,0.006586821497613264,308
S134,B,52.0,0.0875,0.0999000999000999,0.27692307692307694,0.0,0.005398815804289316,1.2,0.006478578965147179,309
S022,A,140.0,0.06666666666666667,0.0999000999000999,0.19696969696969696,0.0,0.004003232240110585,1.6,0.006405171584176936,310
S181,A,36.0,0.06666666666666667,0.0999000999000999,0.1896551724137931,0.0,0.0039544539532678875,1.6,0.006327126325228621,311
S085,C,46.0,0.09583333333333334,0.0999000999000999,0.35714285714285715,0.0,0.006250867215025549,1.0,0.006250867215025549,312
S252,C,48.0,0.1,0.0999000999000999,0.3220338983050847,0.0,0.006223995984719402,1.0,0.006223995984719402,313
S111,B,31.0,0.06666666666666667,0.0999000999000999,0.3684210526315789,0.0,0.005168950661369704,1.2,0.006202740793643645,314
S222,B,32.0,0.0625,0.0999000999000999,0.38461538461538464,0.0,0.005155919921020636,1.2,0.0061871039052247626,315
S124,B,34.0,0.058333333333333334,0.0999000999000999,0.4,0.0,0.005151494272509349,1.2,0.006181793127011218,316
S315,B,32.0,0.05,0.0999000999000999,0.4230769230769231,0.0,0.005116875075601716,1.2,0.006140250090722059,317
S051,A,29.0,0.0625,0.0999000999000999,0.19672131147540983,0.0,0.003801127200863906,1.6,0.00608180352138225,318
S289,A,40.0,0.058333333333333334,0.0999000999000999,0.21428571428571427,0.0,0.003723425351845513,1.6,0.005957480562952821,319
S136,C,42.0,0.07916666666666666,0.0999000999000999,0.4090909090909091,0.0,0.005940743605017525,1.0,0.005940743605017525,320
S335,B,50.0,0.075,0.0999000999000999,0.28846153846153844,0.0,0.00491718086826289,1.2,0.005900617041915467,321
S045,B,31.0,0.08333333333333333,0.0999000999000999,0.21951219512195122,0.0,0.0048971065687393655,1.2,0.005876527882487238,322
S373,A,30.0,0.0625,0.0999000999000999,0.16901408450704225,0.0,0.003649687172107072,1.6,0.005839499475371316,323
S058,B,34.0,0.08333333333333333,0.0999000999000999,0.21052631578947367,0.0,0.004853162189348178,1.2,0.0058237946272178135,324
S166,B,32.0,0.06666666666666667,0.0999000999000999,0.3076923076923077,0.0,0.004707707767998879,1.2,0.005649249321598655,325
S276,B,52.0,0.07916666666666666,0.0999000999000999,0.19230769230769232,0.0,0.004565428913220988,1.2,0.005478514695865186,326
S372,A,29.0,0.041666666666666664,0.0999000999000999,0.2564102564102564,0.0,0.0033969139716402415,1.6,0.005435062354624386,327
S142,B,121.0,0.0625,0.0999000999000999,0.30434782608695654,0.0,0.00452762148455158,1.2,0.005433145781461896,328
S137,B,33.0,0.07916666666666666,0.0999000999000999,0.17857142857142858,0.0,0.004502517807789906,1.2,0.005403021369347887,329
S223,C,28.0,0.07083333333333333,0.0999000999000999,0.3783783783783784,0.0,0.005397285601702751,1.0,0.005397285601702751,330
S384,C,89.0,0.07916666666666666,0.0999000999000999,0.32608695652173914,0.0,0.005344096903713102,1.0,0.005344096903713102,331
S164,C,72.0,0.09166666666666666,0.0999000999000999,0.21794871794871795,0.0,0.005293656799671298,1.0,0.005293656799671298,332
S009,B,31.0,0.07916666666666666,0.0999000999000999,0.15,0.0,0.004385107435451283,1.2,0.005262128922541539,333
S177,C,47.0,0.0875,0.0999000999000999,0.23376623376623376,0.0,0.0051674143792724584,1.0,0.0051674143792724584,334
